timestamp,label,score,layers,syn_count,pkt_count,byte_count,cookie,pid,comm
10:10:28,portscan,0.32,.T..,0,0,0,0,0,
10:10:28,portscan,0.32,.T..,0,0,0,0,0,
10:10:28,portscan,0.31,.T..,0,0,0,0,0,
10:10:28,portscan,0.31,.T..,0,0,0,0,0,
10:10:28,portscan,0.31,.T..,0,0,0,0,0,
10:10:29,portscan,21.52,XT..,0,95,0,0,0,
10:10:29,portscan,0.31,.T..,0,0,0,0,0,
10:10:29,portscan,0.30,.T..,0,0,0,0,0,
10:10:29,portscan,0.30,.T..,0,0,0,0,0,
10:10:29,portscan,0.30,.T..,0,0,0,0,0,
10:10:29,portscan,0.29,.T..,0,0,0,0,0,
10:10:29,portscan,22.40,XT..,0,97,0,0,0,
10:10:29,portscan,0.29,.T..,0,0,0,0,0,
10:10:29,portscan,0.29,.T..,0,0,0,0,0,
10:10:29,portscan,0.29,.T..,0,0,0,0,0,
10:10:29,portscan,22.96,XT..,0,99,0,0,0,
10:10:29,portscan,22.77,XT..,0,101,0,0,0,
10:10:29,portscan,22.59,XT..,0,103,0,0,0,
10:10:29,portscan,22.41,XT..,0,105,0,0,0,
10:10:29,portscan,14.77,XT..,0,6,0,0,0,
10:10:30,portscan,22.34,XT..,0,107,0,0,0,
10:10:30,portscan,22.12,XT..,0,109,0,0,0,
10:10:30,portscan,21.98,XT..,0,111,0,0,0,
10:10:30,portscan,18.49,XT..,0,19,0,0,0,
10:10:30,portscan,21.69,XT..,0,113,0,0,0,
10:10:30,portscan,21.57,XT..,0,115,0,0,0,
10:10:30,portscan,21.39,XT..,0,117,0,0,0,
10:10:31,portscan,21.32,XT..,0,119,0,0,0,
10:10:31,portscan,17.33,XT..,0,19,0,0,0,
10:10:31,portscan,21.04,XT..,0,121,0,0,0,
10:10:31,portscan,20.93,XT..,0,123,0,0,0,
10:10:31,portscan,18.15,XT..,0,22,0,0,0,
10:10:31,portscan,11.25,XT..,0,17,0,0,0,
10:10:31,portscan,17.79,XT..,0,22,0,0,0,
10:10:31,portscan,20.30,XT..,0,125,0,0,0,
10:10:31,portscan,20.28,XT..,0,127,0,0,0,
10:10:31,portscan,20.15,XT..,0,129,0,0,0,
10:10:32,portscan,20.09,XT..,0,131,0,0,0,
10:10:32,portscan,16.81,XT..,0,22,0,0,0,
10:10:32,portscan,19.85,XT..,0,133,0,0,0,
10:10:32,portscan,19.82,XT..,0,135,0,0,0,
10:10:32,portscan,19.76,XT..,0,137,0,0,0,
10:10:32,portscan,19.64,XT..,0,139,0,0,0,
10:10:32,portscan,9.53,XT..,0,6,0,0,0,
10:10:33,portscan,10.85,XT..,0,19,0,0,0,
10:10:33,portscan,19.59,XT..,0,142,0,0,0,
10:10:33,portscan,19.48,XT..,0,144,0,0,0,
10:10:33,portscan,19.37,XT..,0,146,0,0,0,
10:10:33,portscan,19.30,XT..,0,148,0,0,0,
10:10:33,portscan,19.21,XT..,0,150,0,0,0,
10:10:33,portscan,19.11,XT..,0,152,0,0,0,
10:10:34,portscan,19.05,XT..,0,154,0,0,0,
10:10:34,portscan,18.94,XT..,0,156,0,0,0,
10:10:34,portscan,18.87,XT..,0,158,0,0,0,
10:10:34,portscan,18.76,XT..,0,160,0,0,0,
10:10:34,portscan,18.76,XT..,0,163,0,0,0,
10:10:34,portscan,14.50,XT..,0,22,0,0,0,
10:10:34,portscan,0.35,.T..,0,0,0,0,0,
10:10:34,portscan,0.35,.T..,0,0,0,0,0,
10:10:34,portscan,0.35,.T..,0,0,0,0,0,
10:10:34,portscan,18.94,XT..,0,165,0,0,0,
10:10:34,portscan,0.35,.T..,0,0,0,0,0,
10:10:34,portscan,0.34,.T..,0,0,0,0,0,
10:10:34,portscan,0.34,.T..,0,0,0,0,0,
